EdgeID,Tension
2,0.458860
3,0.723476
4,0.399028
5,1.212762
6,0.634334
7,0.960102
8,1.009997
9,0.752397
10,0.555424
11,0.476543
12,0.773559
13,1.278383
14,1.262427
15,1.683954
16,0.412689
17,0.444215
18,0.737298
19,0.859240
20,0.979224
21,0.950749
22,0.689206
23,0.581297
24,0.585459
25,1.140105
26,1.439164
27,1.882393
28,0.346033
29,0.528523
30,0.813074
31,0.898303
32,1.326134
33,1.878622
34,0.999357
35,1.202552
36,1.410451
37,0.631042
38,0.644514
39,0.730370
40,0.654909
41,0.627422
42,0.794378
43,2.140241
44,1.997662
45,0.987154
46,1.064537
47,1.134775
48,0.948407
49,1.195927
50,0.811625
51,1.124075
52,0.627261
53,0.578882
54,1.281257
55,1.021905
56,0.956113
57,1.365137
58,1.162903
59,1.350661
60,0.987601
61,1.556407
62,1.320835
63,1.438628
64,1.378246
65,1.256765
66,0.956316
67,0.534999
68,1.045314
69,0.679525
70,1.143439
71,1.015783
72,1.262856
73,0.769165
74,0.830796
75,0.728367
76,1.155735
77,1.177463
78,0.978942
79,1.383153
80,1.173402
81,1.276964
82,0.772670
83,0.640196
84,0.790819
85,0.760269
86,0.712006
87,1.267408
88,1.228198
89,0.766185
90,0.854602
91,1.471623
92,1.084354
93,0.815763
94,1.212337
95,0.911266
96,1.013999
97,0.971791
98,0.607129
99,0.787854
100,0.918227
101,0.912382
102,1.000991
103,0.815398
104,0.980335
105,0.950479
106,0.882869
107,0.639069
108,0.691726
109,0.887479
110,1.136093
111,0.989425
112,0.870568
113,0.705606
114,0.985541
115,1.160650
116,1.205821
117,1.180106
118,0.833621
119,0.854921
120,1.331718
121,2.000777
122,1.309589
123,1.075589
124,1.437635
125,0.447470
126,0.644829
127,0.948082
128,0.630905
129,1.342778
130,1.306835
131,0.622576
132,0.878523
133,1.122159
134,0.907215
135,1.125897
136,1.090349
137,0.726652
138,0.901709
139,0.929130
140,1.980102
141,1.793013
142,1.788155
143,0.882330
144,0.823497
145,1.104382
146,0.935689
147,1.751030
148,1.586383
149,1.425677
150,0.924595
151,1.038206
152,1.697851
153,1.101510
154,1.064457
155,0.879234
156,1.346643
157,0.956935
158,1.091701
159,1.170131
160,1.671101
161,1.697481
162,1.248820
163,0.989238
164,1.336695
165,1.339180
166,1.324333
167,1.231743
168,1.390679
169,0.802652
170,1.196861
171,0.956802
172,0.948855
173,1.223984
174,1.051198
175,1.260946
176,1.203826
177,0.405785
178,1.039334
179,1.705190
180,0.804139
181,0.684057
182,0.992307
183,1.479403
184,1.534136
185,1.744515
186,1.189630
187,1.397030
188,1.133557
189,0.640214
190,1.283965
191,0.839720
192,0.570867
193,0.491953
194,1.199882
195,1.154250
196,1.498932
197,0.992519
198,0.931842
199,0.881720
200,1.187325
201,1.263928
202,1.124268
203,1.250253
204,1.289967
205,1.151065
206,1.245688
207,1.099380
208,0.999710
209,0.982397
210,0.608349
211,0.498625
212,1.282210
213,1.461958
214,0.872598
215,1.110116
216,0.385925
217,0.524226
218,1.363891
219,1.166736
220,1.402702
221,0.927500
222,1.017457
223,0.903764
224,0.459120
225,0.415985
226,0.590783
227,0.751455
228,0.978826
229,1.099866
230,1.066177
231,1.108677
232,1.214240
233,1.648728
234,0.824520
235,1.618507
236,0.892512
237,0.858910
238,0.690330
239,1.253866
240,1.208018
241,1.155527
242,0.565746
243,0.722223
244,1.049226
245,0.909527
246,0.693973
247,1.097666
248,0.966556
249,0.961282
250,0.593002
251,0.894511
252,0.852102
253,0.627553
254,1.467407
255,1.077658
256,1.239666
257,0.684172
258,1.007988
259,0.936691
260,1.077874
261,0.934853
262,0.484268
263,0.896602
264,0.785836
265,0.691352
266,1.277353
267,0.633179
268,1.019699
269,1.357973
270,0.962895
271,1.156339
272,0.801916
273,0.713413
274,0.573228
275,0.781173
276,0.640313
277,0.523813
278,0.667253
279,1.077949
280,0.710021
281,0.840743
282,1.098574
283,1.043779
284,0.975004
285,0.234137
286,1.178593
287,0.515899
288,0.541456
289,0.514197
290,0.879526
291,0.872616
292,0.796890
293,0.899548
294,0.905092
295,0.523236
296,1.159939
297,0.925661
298,0.865356
299,1.162767
300,0.580308
301,0.855310
302,0.545041
303,1.396778
304,1.138337
305,1.019706
306,1.114953
307,0.837746
308,0.508455
309,0.723081
310,0.728595
311,0.723359
312,0.661793
313,0.574469
314,0.915942
315,0.751668
316,0.716049
317,0.645226
318,0.344371
319,0.827026
320,0.303493
321,0.801992
322,0.417604
323,0.675116
324,0.997614
325,0.845029
326,0.532932
327,0.825681
328,1.163644
329,0.891624
330,1.099508
331,0.594918
332,1.341934
333,1.784417
334,1.004493
335,0.585395
336,0.890017
337,1.059856
338,0.949060
339,0.835203
340,1.255663
341,0.784133
342,1.345435
343,1.173131
344,1.175687
345,1.193364
346,0.363661
347,0.222180
348,0.996987
349,1.070770
350,0.802831
351,0.837442
352,1.384667
353,1.005897
354,1.247257
355,1.016223
356,2.046049
357,1.693703
358,1.543018
359,1.423548
360,0.830340
361,1.183320
362,1.410851
363,1.166952
364,1.735777
365,0.738425
366,1.352880
367,1.183025
368,0.685508
369,0.781758
370,1.582755
371,0.755513
372,0.912864
373,0.782894
374,0.810474
375,0.472274
376,1.763617
377,0.452250
378,1.507025
379,1.519750
380,1.264396
381,0.728096
382,0.948131
383,1.222247
384,0.732613
385,0.561481
386,0.818648
387,1.861678
388,0.528093
389,0.993736
390,1.112012
391,1.043831
392,1.016752
393,1.064311
394,1.841053
395,1.133529
396,1.260799
397,0.777951
398,1.147001
399,0.964276
400,0.530125
