EdgeID,Tension
8,1.044339
9,0.332622
11,0.425486
12,0.918490
14,0.855029
17,0.623242
19,0.799087
20,0.880936
21,0.844650
22,0.796024
23,0.572893
24,0.587598
25,0.888417
26,1.047081
27,1.430530
30,0.594494
33,1.629507
34,0.794334
35,0.974788
36,1.062137
37,0.495771
38,0.551071
39,0.504682
40,0.582752
41,0.518786
42,0.681572
43,1.740252
44,1.572197
45,0.810468
47,0.705353
48,0.753526
49,0.936202
50,0.622033
51,0.730004
52,0.418483
53,0.370370
54,1.009879
55,0.767282
56,0.727971
57,1.051751
58,0.886714
59,1.061576
61,1.259316
62,1.111107
63,1.025866
64,0.962464
65,0.899304
66,0.718316
67,0.395754
68,0.766595
70,0.724920
71,0.661822
72,0.967836
73,0.583208
74,0.629869
75,0.597452
76,0.895681
77,1.051868
78,0.663219
79,0.954675
80,0.784703
81,0.917762
82,0.542484
83,0.451781
84,0.577141
85,0.544283
86,0.523338
87,0.966909
88,0.922185
89,0.590768
91,0.992269
92,0.736192
94,1.209694
95,0.848314
96,0.701738
97,0.668116
98,0.420810
99,0.551457
100,0.639000
101,0.640368
102,0.737975
103,0.590373
104,0.731041
105,0.651097
106,0.608716
107,0.441939
108,0.567042
109,0.679524
110,0.997922
111,0.684571
112,0.601714
113,0.487794
114,0.690832
115,0.810014
116,0.851363
117,0.883483
118,0.610965
119,0.648180
121,1.418392
122,0.922546
123,0.762002
124,1.026841
125,0.309276
126,0.451418
127,0.656753
129,1.221509
130,1.089992
131,0.430254
132,0.607490
133,0.780558
134,0.644897
135,0.806564
136,0.776559
137,0.516205
138,0.630783
139,0.672285
140,1.530790
141,1.362404
142,1.368305
143,0.611442
144,0.575582
145,0.766577
147,1.262910
148,1.147442
149,1.045694
150,0.677549
151,0.744950
152,1.270869
153,0.783296
154,0.772298
155,0.625639
156,0.937617
157,0.665080
158,0.762067
160,1.268523
161,1.266618
162,0.868320
163,0.691799
164,0.931232
165,0.992352
166,1.009253
167,0.909533
168,1.035108
169,0.582974
170,0.862779
171,0.674444
172,0.673833
173,0.855868
174,0.746433
175,0.905380
176,0.849231
178,0.983199
179,1.392889
180,0.573613
181,0.490589
182,0.702724
183,1.087197
184,1.149298
185,1.268216
186,0.830866
187,0.977647
188,0.795417
190,0.872982
191,0.585655
193,0.242492
194,0.845746
195,0.821369
196,1.054889
197,0.708742
198,0.664612
199,0.632791
200,0.924406
201,1.001019
202,0.842218
203,0.901506
204,0.944666
205,0.829218
206,0.878562
207,0.781517
208,0.705568
209,0.711614
210,0.424927
211,0.351701
212,0.982973
213,1.033647
214,0.623413
215,0.793232
217,0.388991
218,1.015044
219,0.879587
220,1.039403
221,0.692410
222,0.757216
223,0.680872
225,0.351012
226,0.458546
227,0.561026
228,0.715454
229,0.841543
230,0.770711
231,0.808974
232,0.879725
233,1.260055
234,0.635007
235,1.240481
236,0.647230
237,0.621210
238,0.530853
239,0.928968
240,0.909282
241,0.856272
243,0.476063
244,0.809593
245,0.718470
246,0.556594
247,0.866973
248,0.707905
249,0.703989
250,0.458999
252,0.676378
253,0.557098
254,1.124613
255,0.851587
256,0.959341
257,0.536918
258,0.799559
259,0.787505
260,0.801255
261,0.714125
262,0.362180
263,0.715264
264,0.636351
265,0.611026
266,1.035471
267,0.553696
268,0.838624
269,1.072898
270,0.778962
271,0.932093
272,0.660860
273,0.591466
274,0.521298
275,0.791066
276,0.716845
277,0.573512
279,1.015943
280,0.672215
282,1.320224
283,1.379979
284,0.797640
285,0.253438
286,0.999530
287,0.419135
288,0.450895
289,0.451365
290,0.840219
291,0.844970
292,0.796845
293,0.750590
294,0.768179
295,0.468155
296,1.168809
297,0.971154
298,0.921619
299,1.022038
300,0.555518
301,0.810011
303,2.082125
304,1.833892
305,1.399831
306,1.583335
307,1.372936
308,0.629806
309,0.847619
310,0.898543
311,1.008073
312,0.694074
313,0.602920
314,1.026285
315,0.791135
316,0.758346
317,0.732868
319,0.888747
320,0.320184
321,0.820069
322,0.436631
323,0.789644
324,1.196299
325,1.050938
326,0.811228
327,1.216439
328,1.308507
329,1.017777
330,1.279625
331,0.820462
333,4.181405
334,1.341301
335,0.795105
336,1.339100
337,2.011050
338,1.609039
339,1.330031
340,2.660591
341,2.262055
342,2.903280
343,1.585499
344,1.600233
345,1.669442
346,0.404449
347,0.275898
348,1.442677
349,1.431204
350,1.105712
351,1.258840
352,2.048133
353,1.615027
354,1.866590
355,1.595345
357,2.027010
358,1.886390
360,1.349306
361,1.924482
362,2.456961
364,4.132968
365,2.185812
367,1.789997
368,1.190725
369,0.857485
370,3.934440
372,1.374354
373,1.303591
374,1.283522
378,5.393915
379,5.504199
380,5.095935
383,2.037381
384,1.226905
386,1.271027
387,2.376549
388,1.317800
390,1.857353
391,1.776695
392,1.755898
394,3.489539
395,2.183801
396,2.736033
398,2.063865
399,2.018314
400,0.857342
