EdgeID,Tension,stdError
186,0.830866,0.260575,Normal-Normal
187,0.977647,0.285767,Normal-Normal
188,0.795417,0.259390,Normal-Normal
190,0.872982,0.385945,Normal-Normal
191,0.585655,0.256706,Normal-Normal
193,0.242492,0.266114,Normal-Normal
194,0.845746,0.255819,Normal-Normal
195,0.821369,0.251005,Normal-Normal
196,1.054889,0.301906,Normal-Normal
197,0.708742,0.276069,Normal-Normal
198,0.664612,0.255648,Normal-Normal
199,0.632791,0.253820,Normal-Normal
200,0.924406,0.277786,Normal-Normal
201,1.001019,0.307052,Normal-Normal
202,0.842218,0.253658,Normal-Normal
203,0.901506,0.261151,Normal-Normal
204,0.944666,0.265653,Normal-Normal
205,0.829218,0.254028,Normal-Normal
206,0.878562,0.282288,Normal-Normal
207,0.781517,0.268747,Normal-Normal
208,0.705568,0.238204,Normal-Normal
209,0.711614,0.259966,Normal-Normal
210,0.424927,0.233285,Normal-Normal
211,0.351701,0.232837,Normal-Normal
212,0.982973,0.299182,Normal-Normal
213,1.033647,0.302746,Normal-Normal
214,0.623413,0.223885,Normal-Normal
215,0.793232,0.263844,Normal-Normal
217,0.388991,0.287521,Normal-Normal
218,1.015044,0.282654,Normal-Normal
219,0.879587,0.256268,Normal-Normal
220,1.039403,0.283491,Normal-Normal
221,0.692410,0.312444,Normal-Normal
222,0.757216,0.293338,Normal-Normal
223,0.680872,0.317054,Normal-Normal
225,0.351012,0.314819,Normal-Normal
226,0.458546,0.274481,Normal-Normal
227,0.561026,0.234177,Normal-Normal
228,0.715454,0.267383,Normal-Normal
229,0.841543,0.306873,Normal-Normal
230,0.770711,0.251913,Normal-Normal
231,0.808974,0.252408,Normal-Normal
232,0.879725,0.283096,Normal-Normal
233,1.260055,0.339745,Normal-Normal
234,0.635007,0.235222,Normal-Normal
235,1.240481,0.325479,Normal-Normal
236,0.647230,0.245964,Normal-Normal
237,0.621210,0.239600,Normal-Normal
238,0.530853,0.224135,Normal-Normal
239,0.928968,0.267406,Normal-Normal
240,0.909282,0.258081,Normal-Normal
241,0.856272,0.263903,Normal-Normal
243,0.476063,0.310814,Normal-Normal
244,0.809593,0.359922,Normal-Normal
245,0.718470,0.301550,Normal-Normal
246,0.556594,0.272686,Normal-Normal
247,0.866973,0.295406,Normal-Normal
248,0.707905,0.254113,Normal-Normal
249,0.703989,0.251009,Normal-Normal
250,0.458999,0.211242,Normal-Normal
252,0.676378,0.365022,Normal-Normal
253,0.557098,0.255810,Normal-Normal
254,1.124613,0.300638,Normal-Normal
255,0.851587,0.256740,Normal-Normal
256,0.959341,0.271133,Normal-Normal
257,0.536918,0.238122,Normal-Normal
258,0.799559,0.290948,Normal-Normal
259,0.787505,0.346181,Normal-Normal
260,0.801255,0.269778,Normal-Normal
261,0.714125,0.235808,Normal-Normal
262,0.362180,0.201088,Normal-Normal
263,0.715264,0.269487,Normal-Normal
264,0.636351,0.251803,Normal-Normal
265,0.611026,0.236963,Normal-Normal
266,1.035471,0.310251,Normal-Normal
267,0.553696,0.219712,Normal-Normal
268,0.838624,0.269646,Normal-Normal
269,1.072898,0.303118,Normal-Normal
270,0.778962,0.248642,Normal-Normal
